epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0517,0.89283,3.34086,1.28363,0.00445,1,0.88649,0.86984,0.23064,3.26261,0.75989,0.000381067,0.000381067,0.000381067
2,26.6682,0.52969,2.4031,1.0546,0.00449,1,0.88642,0.88627,0.26595,3.13624,0.75831,0.000814959,0.000814959,0.000814959
3,38.8394,0.63317,2.04471,1.09792,0.00449,1,0.88642,0.88627,0.26595,3.13624,0.75831,0.00120169,0.00120169,0.00120169
4,51.2603,0.80271,2.18718,1.19777,0.00492,1,0.75303,0.44447,1.10737,3.75661,1.70668,0.00121679,0.00121679,0.00121679
5,62.9717,0.7661,2.1564,1.18435,0.4588,0.33333,0.34579,0.12349,1.41431,3.64724,2.02656,0.00114606,0.00114606,0.00114606
6,77.7602,0.72943,1.99166,1.12174,0.4588,0.33333,0.34579,0.12349,1.41431,3.64724,2.02656,0.00107532,0.00107532,0.00107532
7,93.3814,0.76329,1.96822,1.10063,0.63035,0.33333,0.70316,0.27122,1.1668,3.41807,1.41556,0.00100459,0.00100459,0.00100459
8,105.355,0.7199,1.76845,1.09914,0.69901,0.88889,0.68232,0.52616,0.60659,2.45935,1.06991,0.000933851,0.000933851,0.000933851
9,120.385,0.74009,1.94072,1.15115,0.69901,0.88889,0.68232,0.52616,0.60659,2.45935,1.06991,0.000863116,0.000863116,0.000863116
10,135.965,0.60541,1.56552,1.10708,0.96921,0.88889,0.89292,0.77963,0.52648,2.14019,0.97872,0.00079238,0.00079238,0.00079238
11,150.269,0.44837,2.59399,0.98757,0.96921,0.88889,0.89292,0.77963,0.52648,2.14019,0.97872,0.000721645,0.000721645,0.000721645
12,163.932,0.51412,2.54695,0.99303,0.97829,0.88889,0.9052,0.84658,0.3983,2.09859,0.83336,0.000650909,0.000650909,0.000650909
13,177.052,0.45707,2.42937,0.89243,0.97499,0.88889,0.93711,0.90107,0.31494,2.07488,0.79903,0.000580174,0.000580174,0.000580174
14,190.098,0.41568,2.55929,0.89251,0.97499,0.88889,0.93711,0.90107,0.31494,2.07488,0.79903,0.000509438,0.000509438,0.000509438
15,204.084,0.37606,2.45656,0.90648,0.98832,0.88889,0.984,0.92762,0.34292,1.8616,0.78042,0.000438703,0.000438703,0.000438703
16,216.979,0.38796,2.3277,0.93083,1,0.99229,0.995,0.984,0.30233,1.73266,0.76582,0.000367967,0.000367967,0.000367967
17,230.318,0.38818,2.14793,0.88616,1,0.99229,0.995,0.984,0.30233,1.73266,0.76582,0.000297232,0.000297232,0.000297232
18,248.944,0.3498,2.40406,0.8876,1,0.99442,0.995,0.984,0.28675,1.6381,0.76615,0.000226497,0.000226497,0.000226497
19,262.84,0.34754,2.17536,0.87833,1,0.99442,0.995,0.984,0.28675,1.6381,0.76615,0.000155761,0.000155761,0.000155761
20,275.697,0.33026,2.21877,0.87913,1,0.99624,0.995,0.984,0.28047,1.5688,0.76227,8.50255e-05,8.50255e-05,8.50255e-05
